A.-Weineck-Straße;AWK
Großglocknerstraße;GGL
Gruna;GRN
Grunaer Weg;GRW
Grundschule Luga;EGSL
Grundstraße;GRD
Grüner Weg;GNW
Güntzplatz;GUN
Gustav-Freytag-Straße;GFT
Gustavheim;GUS
Gutenbergstraße;GUT
H.-Steyer-Stadion;HST
Hamburger Straße;HAM
Hammerweg;HMW
Hänichenweg;HNW
Hans-Dankner-Straße;HDA
Hans-Oster-Str.;HAO
Hartigstraße;EHAT
Hauptbahnhof;HBF
Hauptbahnhof Nord;HBN
Hebbelplatz;HEB
Heckenweg;HEC
Heeresbäckerei;HBR
Hegereiterstraße;HEG
Heidefriedhof;HEF
Heideparkstraße;HPK
Heinrich-Greif-Straße;EHGR
Heinrich-Schütz-Straße;HSS
Heinrich-Tessenow-Weg;HTW
Heinrich-Zille-Straße;HZS
Helena-Rott-Straße;HRS
Hellerau Kiefernweg;HEL
Hellerhofstraße;HHO
Hellersiedlung;HLS
Helmholtzstraße;HHZ
Hendrichstraße;HNS
Hepkeplatz;HEK
Hepkestraße;HEP
Herkuleskeule;EHKK
Hermann-Michel-Straße;HMI
Hermann-Seidel-Straße;HSE
Heroldstraße;HRO
Hirtenstraße;HIR
Hochsch Technik/Wirtscha;EHSW
Höckendorfer Weg;HKW
Hohe Straße;HHS
Hohlweg;HOH
Hornweg;HOR
Hp.Weixdorf Bad;HPW
Hubertusplatz;HUB
Hüblerplatz;HUP
Hüfnerweg;HFW
Hugo-Bürkner-Straße;HBU
Hugo-Junkers-Ring;HJR
Hülße-Gymnasium;HGM
Hülßestraße;HUL
Hutbergstraße;HGS
Ikarusweg;IKW
Industriegebiet Nord;IDN
Industriepark Klotzsche;IPK
Infineon;KIN
Infineon Nord;IFN
Infineon Süd;IFS
Innsbrucker Straße;INN
Jacobistraße;JCS
Jacob-Winter-Platz;JWP
Jägerpark;JPK
Johannes-Brahms-Straße;JBR
Johannisfriedhof;JHF
Johannstadt;JOH
Johannstadt Fähre;FJOF
Josef-Herrmann-Straße;JHE
Josephinenstraße;JOP
Julius-Otto-Straße;JOT
Julius-Vahlteich-Straße;JVA
Junghansstraße;JHS
Jüngststraße;JGS
Justizvollzugsanstalt;JUZ
K.-Kollwitz-Ufer;KKU
Kadenstraße;KSE
KaditzAmVorwerksfeld;KAD
Kaditzer Straße;KDS
Kaitzer Straße;KTZ
Kapellenweg;KAP
Karcherallee;KAR
Karl-Laux-Straße;KLX
Karl-Marx-Straße;KMX
Karlshagener Weg;KRW
Kasseler Straße;KAS
Kastanienstraße;KST
Käthe-Kollwitz-Platz;KKW
Kauschaer Straße;KAU
Kelterei;KEL
Keppgrundstraße;KEP
Keulenbergstraße;KEU
Kipsdorfer Straße;KPS
Kirschenstraße;KIR
Kleestraße;KLE
Kleinnaundorfer Straße;KLN
Kleinzschachw. Fähre;KLF
Kleinzschachwitz;KLZ
Klettestraße;KLT
Klosterteichplatz;KLP
Klotzsche, M.-Reiche-Str;MRS
Knappestraße;KNA
Koblenzer Straße;KOB
Kohlsdorfer Landstraße;KOH
Kölner Straße;KLS
Kolpingstraße;KLG
Kongresszentrum;KGZ
Königsheimplatz;KHP
Kopernikusstraße;KOP
Koreanischer Platz;KOR
Körnerplatz;KNP
Kotteweg;KOT
Kotzschweg;KOZ
Krankenh. Friedrichstadt;KHF
Krankenhaus Neustadt;KHN
Krebser Straße;KRB
Krebser Straße Nord;KRN
Kretschmerstraße;KRT
Krhs. St.Joseph-Stift;KHJ
Krügerstraße;KGS
Künstlerhaus;KTN
Kurhausstraße;KUR
Kurt-Tucholsky-Straße;KTS
Kurzer Schritt;KSC
Laibacher Straße;LAI
Landesdirektion Sachsen;LDS
Lassallestraße;LAS
Laubegast;LBG
Laubegast Fähre;FTOL
Lauterbacher Straße;LAU
Leiblstraße;LBL
Lene-Glatzer-Straße;LGL
Lengefelder Straße;LFS
Lenneplatz;LEN
Leubener Straße;LBN
Leubnitzer Höhe;LBH
Leutewitz;LTW
Liebenauer Straße;LBS
Liebstädter Straße;LST
Lipsiusstraße;LIP
Lise-Meitner-Straße;LME
Liststraße;LIS
Liststraße (Harkortstr.);HKT
Löbtau Gröbelstraße;LGS
Lockwitz;LOC
Lohmener Straße;LOM
Lohrmannstraße;LOR
