id,numeric_id,name,city,name_with_city,latitude,longitude,operators,total_lines,tram_lines,bus_lines,train_lines,s_bahn_lines
de:14625:6990,33006990,Ziegelteich,Lohsa,Lohsa Ziegelteich,51.384874,14.406857,Ostdeutsche Eisenbahn GmbH|RBO,4,,,,
de:14628:3679,33003679,Am Mühlweg,Lohsdorf (bei Pirna),Lohsdorf (bei Pirna) Am Mühlweg,50.97219,14.175397,RVSOE,1,,,,
de:14628:3678,33003678,Ehemaliger Bahnhof,Lohsdorf (bei Pirna),Lohsdorf (bei Pirna) Ehemaliger Bahnhof,50.971591,14.180679,RVSOE,3,,,,
de:14627:4900,33004900,Busbahnhof,Lommatzsch,Lommatzsch Busbahnhof,51.192581,13.310284,VGM,18,,,,
de:14627:4909,33004909,Döbelner Straße,Lommatzsch,Lommatzsch Döbelner Straße,51.192879,13.303564,VGM,6,,,,
de:14627:4897,33004897,Jessener Straße,Lommatzsch,Lommatzsch Jessener Straße,51.192485,13.297662,VGM,2,,,,
de:14627:4904,33004904,Kornstraße,Lommatzsch,Lommatzsch Kornstraße,51.198176,13.310382,VGM,6,,,,
de:14627:4896,33004896,Königstraße,Lommatzsch,Lommatzsch Königstraße,51.196977,13.306259,VGM,4,,,,
de:14627:4901,33004901,Markt,Lommatzsch,Lommatzsch Markt,51.197011,13.308649,VGM,1,,,,
de:14627:4908,33004908,Meißner Straße,Lommatzsch,Lommatzsch Meißner Straße,51.196899,13.313598,VGM,11,,,,
de:14627:4906,33004906,Mertitzer Straße,Lommatzsch,Lommatzsch Mertitzer Straße,51.191517,13.316123,VGM,6,,,,
de:14627:4895,33004895,Oschatzer Straße,Lommatzsch,Lommatzsch Oschatzer Straße,51.200467,13.304516,VGM,4,,,,
de:14627:4907,33004907,Parkstraße,Lommatzsch,Lommatzsch Parkstraße,51.194636,13.313733,VGM,14,,,,
de:14627:4905,33004905,Riesaer Straße,Lommatzsch,Lommatzsch Riesaer Straße,51.201126,13.308092,VGM,6,,,,
de:14627:4903,33004903,Sachsenplatz,Lommatzsch,Lommatzsch Sachsenplatz,51.200361,13.305927,VGM,5,,,,
de:14627:4902,33004902,Siedlung,Lommatzsch,Lommatzsch Siedlung,51.197287,13.320471,VGM,3,,,,
de:14627:4899,33004899,Zöthain,Lommatzsch,Lommatzsch Zöthain,51.184287,13.332445,VGM,4,,,,
de:14625:6643,33006643,Kirche,Lomnitz,Lomnitz Kirche,51.19043,13.900135,RBO,1,,,,
de:14625:6640,33006640,Kreuzung,Lomnitz,Lomnitz Kreuzung,51.191134,13.894611,RBO,1,,,,
de:14625:6641,33006641,Niederdorf,Lomnitz,Lomnitz Niederdorf,51.191247,13.8849,RBO,1,,,,
de:14625:6642,33006642,Wendeplatz,Lomnitz,Lomnitz Wendeplatz,51.189552,13.901743,RBO,1,,,,
de:14627:5622,33005622,Fährstelle,Lorenzkirch,Lorenzkirch Fährstelle,51.350147,13.24583,VGM,1,,,,
de:14627:5621,33005621,Zur Fähre,Lorenzkirch,Lorenzkirch Zur Fähre,51.352077,13.250716,VGM,1,,,,
de:14627:4968,33004968,Gasthof,Lossen (Nossen),Lossen (Nossen) Gasthof,51.157471,13.266904,VGM,4,,,,
de:14628:1956,33001956,Abzweig Cunnersdorf,Luchau,Luchau Abzweig Cunnersdorf,50.860762,13.753387,RVSOE,1,,,,
de:14628:1955,33001955,Luchberg,Luchau,Luchau Luchberg,50.86565,13.737289,RVSOE,1,,,,
de:14627:4519,33004519,Luga (Kr MEI),Luga (bei Meißen),Luga (bei Meißen) Luga (Kr MEI),51.117909,13.401517,VGM,1,,,,
de:14628:1017,33001017,Abzw Steinbruch,Lungkwitz,Lungkwitz Abzw Steinbruch,50.923274,13.778593,RVSOE,1,,,,
de:14628:1016,33001016,Bad,Lungkwitz,Lungkwitz Bad,50.930205,13.776482,RVSOE,1,,,,
