Nummer;Name mit Ort;Name ohne Ort;Ort;Tarifzone 1 ;Tarifzone 2;Tarifzone 3;WGS84_X;WGS84_Y
de:14612:442;Podemus Zschonergrundmühle;Zschonergrundmühle;Merbitz/Podemus;0100;;;13,640839;51,058574
de:14612:445;Rennersdorf;Rennersdorf;Rennersdorf(Dresden);0100;;;13,609839;51,069173
de:14612:446;Altmobschatz;Altmobschatz;Mobschatz;0100;;;13,644126;51,075249
de:14612:447;Mobschatz Am Tummelsgrund;Am Tummelsgrund;Mobschatz;0100;;;13,645166;51,077994
de:14612:448;Mobschatz Am Hang;Am Hang;Mobschatz;0100;;;13,640943;51,081272
de:14612:450;Cossebaude Bahnhof;Bahnhof;Cossebaude/Neu-Leuteritz;0105;0519;;13,631631;51,085106
de:14612:451;Oberwartha Albertplatz;Albertplatz;Oberwartha;0100;;;13,611722;51,08229
de:14612:452;Cb. Gewerbegeb. Breitscheidstr;Gewerbegebiet Breitscheidstr;Cossebaude/Neu-Leuteritz;0100;;;13,639722;51,081855
de:14612:453;Cossebaude Eichbergstraße;Eichbergstraße;Cossebaude/Neu-Leuteritz;0105;;;13,628890;51,085099
de:14612:454;Cossebaude Erna-Berger-Straße;Erna-Berger-Straße;Cossebaude/Neu-Leuteritz;0105;0519;;13,628474;51,087874
de:14612:455;Cossebaude Weinbergstraße;Weinbergstraße;Cossebaude/Neu-Leuteritz;0105;;;13,625926;51,083603
de:14612:456;Cossebaude Sonnenleite;Sonnenleite;Cossebaude/Neu-Leuteritz;0105;;;13,623286;51,084431
de:14612:457;Cossebaude Parkweg;Parkweg;Cossebaude/Neu-Leuteritz;0105;;;13,615982;51,082887
de:14612:458;Cossebaude Ludwigstraße;Ludwigstraße;Cossebaude/Neu-Leuteritz;0105;0519;;13,635605;51,087324
de:14612:459;Cossebaude Gohliser Weg;Gohliser Weg;Cossebaude/Neu-Leuteritz;0105;;;13,639035;51,087025
de:14612:460;Cossebaude Schulstraße;Schulstraße;Cossebaude/Neu-Leuteritz;0105;0519;;13,631472;51,087895
de:14612:461;Cossebaude Talstraße;Talstraße;Cossebaude/Neu-Leuteritz;0105;;;13,619272;51,080261
de:14612:463;Cossebaude An den Winkelwiesen;An den Winkelwiesen;Cossebaude/Neu-Leuteritz;0105;0519;;13,622508;51,089125
de:14612:469;Dresden Gohlis;Gohlis;Dresden;0100;;;13,645193;51,085194
de:14612:470;Niederwartha Haltepunkt;Haltepunkt;Niederwartha;0105;0519;0522;13,606488;51,093527
de:14612:472;Niederwartha Amselgrund;Amselgrund;Niederwartha;0105;0519;;13,613666;51,088519
de:14612:473;Niederwartha Rohrbahn;Rohrbahn;Niederwartha;0105;0519;;13,609237;51,090477
de:14612:474;Niederwartha Hermann-Große-Str;Hermann-Große-Str;Niederwartha;0105;0519;;13,606736;51,089963
de:14612:475;Niederwartha Oberwarthaer Str.;Oberwarthaer Str.;Niederwartha;0105;0519;;13,603361;51,091421
de:14612:477;Oberwartha Dorotheenstraße;Dorotheenstraße;Oberwartha;0100;;;13,608577;51,081317
de:14612:478;Oberwartha Friedensplatz;Friedensplatz;Oberwartha;0100;;;13,603235;51,080788
de:14612:479;Oberwartha Hässige Straße;Hässige Straße;Oberwartha;0100;;;13,611206;51,078539
de:14612:485;Dresden August-Bebel-Straße;August-Bebel-Straße;Dresden;0100;;;13,755993;51,029769
de:14612:486;Dresden Hettnerstraße;Hettnerstraße;Dresden;0100;;;13,727388;51,03033
de:14612:487;Dresden, Energiemuseum;Energiemuseum;Dresden;0100;;;13,723000;51,053849
de:14612:489;DD Maternistr. (Boulevardtheater);Maternistr. (Boulevardtheater);Dresden;;;;13,723567;51,049148
de:14612:490;Dresden Taschenbergpalais;Taschenbergpalais;Dresden;0100;;;13,735229;51,052464
de:14612:492;Dresden Botanischer Garten;Botanischer Garten;Dresden;0100;;;13,758059;51,044796
de:14612:494;Dresden Kraszewskimuseum;Kraszewskimuseum;Dresden;0100;;;13,761357;51,068182
de:14612:495;Dresden Militärhist. Museum;Militärhist. Museum;Dresden;0100;;;13,757838;51,08038
de:14612:498;Dresden Schulmuseum (Bf Mitte);Schulmuseum (Bf Mitte);Dresden;0100;;;13,721774;51,055782
de:14612:501;Dresden Omsewitz;Omsewitz;Dresden;0100;;;13,658331;51,053077
de:14612:502;Dresden Adalbert-Stifter-Weg;Adalbert-Stifter-Weg;Dresden;0100;;;13,659578;51,052448
de:14612:503;Dresden Altomsewitz;Altomsewitz;Dresden;0100;;;13,660183;51,053015
de:14612:504;Dresden Altburgstädtel;Altburgstädtel;Dresden;0100;;;13,663758;51,053656
de:14612:505;Dresden Lise-Meitner-Straße;Lise-Meitner-Straße;Dresden;0100;;;13,666805;51,053928
de:14612:506;Dresden Gorbitzer Straße;Gorbitzer Straße;Dresden;0100;;;13,672717;51,052908
de:14612:507;Dresden Grillparzerstraße;Grillparzerstraße;Dresden;0100;;;13,681852;51,052705
de:14612:509;Dresden Arthur-Weineck-Straße;Arthur-Weineck-Straße;Dresden;0100;;;13,677521;51,052444
de:14612:510;Dresden Kaitzer Straße;Kaitzer Straße;Dresden;0100;;;13,711683;51,028152
de:14612:511;Dresden Heinrich-Zille-Straße;Heinrich-Zille-Straße;Dresden;0100;;;13,757276;51,025632
de:14612:512;Dresden Stadtgutstraße;Stadtgutstraße;Dresden;0100;;;13,736251;51,024122
de:14612:513;Dresden Regensburger Straße;Regensburger Straße;Dresden;0100;;;13,720826;51,026382
de:14612:514;Dresden Am Anger;Am Anger;Dresden;0100;;;13,788829;51,012109
de:14612:515;Dresden Robert-Sterl-Straße;Robert-Sterl-Straße;Dresden;0100;;;13,763585;51,016071
de:14612:516;Dresden Clausen-Dahl-Straße;Clausen-Dahl-Straße;Dresden;0100;;;13,761042;51,017431
de:14612:517;Dresden Schurichtstraße;Schurichtstraße;Dresden;0100;;;13,753156;51,024472
de:14612:518;Dresden Eissporthalle;Eissporthalle;Dresden;0100;;;13,721326;51,061389
de:14612:520;Dresden Alberthafen;Alberthafen;Dresden;0100;;;13,715726;51,063117
de:14612:522;Dresden Messe Dresden;Messe Dresden;Dresden;0100;;;13,714291;51,069826
de:14612:523;Dresden Messe Gleisschleife;Messe Gleisschleife;Dresden;0100;;;13,714644;51,07206
de:14612:526;Dresden Messering (Halle 1);Messering (Halle 1);Dresden;0100;;;13,716712;51,068173
de:14612:527;Dresden Heinz-Steyer-Stadion;Heinz-Steyer-Stadion;Dresden;0100;;;13,726064;51,058757
de:14612:530;Dresden Thäterstraße;Thäterstraße;Dresden;0100;;;13,695092;51,071158
de:14612:531;Dresden Mengsstraße;Mengsstraße;Dresden;0100;;;13,694315;51,069426
de:14612:535;Dresden Mobschatzer Höhe;Mobschatzer Höhe;Dresden;0100;;;13,651698;51,067878
de:14612:536;Dresden Am Zschonergrundbad;Am Zschonergrundbad;Dresden;0100;;;13,655376;51,068186
de:14612:537;Dresden Schleswiger Straße;Schleswiger Straße;Dresden;0100;;;13,660378;51,068834
de:14612:538;Dresden Schulberg;Schulberg;Dresden;0100;;;13,670106;51,067572
de:14612:542;Dresden Schunckstraße;Schunckstraße;Dresden;0100;;;13,675564;51,064221
de:14612:543;Dresden Am Lehmberg;Am Lehmberg;Dresden;0100;;;13,673239;51,064228
de:14612:544;Dresden Droste-Hülshoff-Straße;Droste-Hülshoff-Straße;Dresden;0100;;;13,666866;51,061963
de:14612:545;Dresden Martin-Opitz-Straße;Martin-Opitz-Straße;Dresden;0100;;;13,661737;51,058953
de:14612:546;Dresden Freiheit;Freiheit;Dresden;0100;;;13,656608;51,058343
de:14612:548;Dresden Hammeraue;Hammeraue;Dresden;0100;;;13,666281;51,067932
de:14612:549;Dresden Am Steinigt;Am Steinigt;Dresden;0100;;;13,650181;51,058533
de:14612:550;Dresden Hp Kemnitz;Hp Kemnitz;Dresden;0105;;;13,669476;51,07266
de:14612:551;Dresden Merbitzer Straße;Merbitzer Straße;Dresden;0100;;;13,674428;51,067132
de:14612:552;Dresden Zschonergrundstraße;Zschonergrundstraße;Dresden;0100;;;13,670428;51,071738
de:14612:553;Dresden Flensburger Straße;Flensburger Straße;Dresden;0100;;;13,666200;51,075601
de:14612:554;Dresden Podemusstraße;Podemusstraße;Dresden;0100;;;13,659334;51,079511
